,TR,K,Lamda,mae_k_fold
0,25,5,0.001,0.054696061221538646
0,25,5,0.001,0.054696061221538646
1,25,5,0.01,0.06468497046578067
0,25,5,0.001,0.054696061221538646
1,25,5,0.01,0.06468497046578067
2,25,5,0.1,0.17349743171594423
0,25,5,0.001,0.054696061221538646
1,25,5,0.01,0.06468497046578067
2,25,5,0.1,0.17349743171594423
3,25,10,0.001,0.03141997751011298
0,25,5,0.001,0.054696061221538646
1,25,5,0.01,0.06468497046578067
2,25,5,0.1,0.17349743171594423
3,25,10,0.001,0.03141997751011298
4,25,10,0.01,0.040888677645504495
0,25,5,0.001,0.054696061221538646
1,25,5,0.01,0.06468497046578067
2,25,5,0.1,0.17349743171594423
3,25,10,0.001,0.03141997751011298
4,25,10,0.01,0.040888677645504495
5,25,10,0.1,0.1559292958103662
0,25,5,0.001,0.054696061221538646
1,25,5,0.01,0.06468497046578067
2,25,5,0.1,0.17349743171594423
3,25,10,0.001,0.03141997751011298
4,25,10,0.01,0.040888677645504495
5,25,10,0.1,0.1559292958103662
6,25,15,0.001,0.022930184358503157
0,25,5,0.001,0.054696061221538646
1,25,5,0.01,0.06468497046578067
2,25,5,0.1,0.17349743171594423
3,25,10,0.001,0.03141997751011298
4,25,10,0.01,0.040888677645504495
5,25,10,0.1,0.1559292958103662
6,25,15,0.001,0.022930184358503157
7,25,15,0.01,0.03230118932440154
0,25,5,0.001,0.054696061221538646
1,25,5,0.01,0.06468497046578067
2,25,5,0.1,0.17349743171594423
3,25,10,0.001,0.03141997751011298
4,25,10,0.01,0.040888677645504495
5,25,10,0.1,0.1559292958103662
6,25,15,0.001,0.022930184358503157
7,25,15,0.01,0.03230118932440154
8,25,15,0.1,0.14739724685160172
0,25,5,0.001,0.054696061221538646
1,25,5,0.01,0.06468497046578067
2,25,5,0.1,0.17349743171594423
3,25,10,0.001,0.03141997751011298
4,25,10,0.01,0.040888677645504495
5,25,10,0.1,0.1559292958103662
6,25,15,0.001,0.022930184358503157
7,25,15,0.01,0.03230118932440154
8,25,15,0.1,0.14739724685160172
9,25,20,0.001,0.0175066465489136
0,25,5,0.001,0.054696061221538646
1,25,5,0.01,0.06468497046578067
2,25,5,0.1,0.17349743171594423
3,25,10,0.001,0.03141997751011298
4,25,10,0.01,0.040888677645504495
5,25,10,0.1,0.1559292958103662
6,25,15,0.001,0.022930184358503157
7,25,15,0.01,0.03230118932440154
8,25,15,0.1,0.14739724685160172
9,25,20,0.001,0.0175066465489136
10,25,20,0.01,0.02700939245375133
0,25,5,0.001,0.054696061221538646
1,25,5,0.01,0.06468497046578067
2,25,5,0.1,0.17349743171594423
3,25,10,0.001,0.03141997751011298
4,25,10,0.01,0.040888677645504495
5,25,10,0.1,0.1559292958103662
6,25,15,0.001,0.022930184358503157
7,25,15,0.01,0.03230118932440154
8,25,15,0.1,0.14739724685160172
9,25,20,0.001,0.0175066465489136
