,TR,K,Lamda,mae_k_fold
0,40,5,0.001,0.09541781746836392
0,40,5,0.001,0.09541781746836392
1,40,5,0.01,0.09848718066910653
0,40,5,0.001,0.09541781746836392
1,40,5,0.01,0.09848718066910653
2,40,5,0.1,0.21248871087536197
0,40,5,0.001,0.09541781746836392
1,40,5,0.01,0.09848718066910653
2,40,5,0.1,0.21248871087536197
3,40,10,0.001,0.04661789576436913
0,40,5,0.001,0.09541781746836392
1,40,5,0.01,0.09848718066910653
2,40,5,0.1,0.21248871087536197
3,40,10,0.001,0.04661789576436913
4,40,10,0.01,0.05653080316152276
0,40,5,0.001,0.09541781746836392
1,40,5,0.01,0.09848718066910653
2,40,5,0.1,0.21248871087536197
3,40,10,0.001,0.04661789576436913
4,40,10,0.01,0.05653080316152276
5,40,10,0.1,0.18539611675742187
0,40,5,0.001,0.09541781746836392
1,40,5,0.01,0.09848718066910653
2,40,5,0.1,0.21248871087536197
3,40,10,0.001,0.04661789576436913
4,40,10,0.01,0.05653080316152276
5,40,10,0.1,0.18539611675742187
6,40,15,0.001,0.03238093119796308
0,40,5,0.001,0.09541781746836392
1,40,5,0.01,0.09848718066910653
2,40,5,0.1,0.21248871087536197
3,40,10,0.001,0.04661789576436913
4,40,10,0.01,0.05653080316152276
5,40,10,0.1,0.18539611675742187
6,40,15,0.001,0.03238093119796308
7,40,15,0.01,0.044610644348398135
0,40,5,0.001,0.09541781746836392
1,40,5,0.01,0.09848718066910653
2,40,5,0.1,0.21248871087536197
3,40,10,0.001,0.04661789576436913
4,40,10,0.01,0.05653080316152276
5,40,10,0.1,0.18539611675742187
6,40,15,0.001,0.03238093119796308
7,40,15,0.01,0.044610644348398135
8,40,15,0.1,0.1787702631810702
0,40,5,0.001,0.09541781746836392
1,40,5,0.01,0.09848718066910653
2,40,5,0.1,0.21248871087536197
3,40,10,0.001,0.04661789576436913
4,40,10,0.01,0.05653080316152276
5,40,10,0.1,0.18539611675742187
6,40,15,0.001,0.03238093119796308
7,40,15,0.01,0.044610644348398135
8,40,15,0.1,0.1787702631810702
9,40,20,0.001,0.024958496083812082
0,40,5,0.001,0.09541781746836392
1,40,5,0.01,0.09848718066910653
2,40,5,0.1,0.21248871087536197
3,40,10,0.001,0.04661789576436913
4,40,10,0.01,0.05653080316152276
5,40,10,0.1,0.18539611675742187
6,40,15,0.001,0.03238093119796308
7,40,15,0.01,0.044610644348398135
8,40,15,0.1,0.1787702631810702
9,40,20,0.001,0.024958496083812082
10,40,20,0.01,0.0358300749849849
0,40,5,0.001,0.09541781746836392
1,40,5,0.01,0.09848718066910653
2,40,5,0.1,0.21248871087536197
3,40,10,0.001,0.04661789576436913
4,40,10,0.01,0.05653080316152276
5,40,10,0.1,0.18539611675742187
6,40,15,0.001,0.03238093119796308
7,40,15,0.01,0.044610644348398135
8,40,15,0.1,0.1787702631810702
9,40,20,0.001,0.024958496083812082
10,40,20,0.01,0.0358300749849849
11,40,20,0.1,0.17314804279777402
0,40,5,0.001,0.09541781746836392
1,40,5,0.01,0.09848718066910653
2,40,5,0.1,0.21248871087536197
3,40,10,0.001,0.04661789576436913
4,40,10,0.01,0.05653080316152276
5,40,10,0.1,0.18539611675742187
6,40,15,0.001,0.03238093119796308
7,40,15,0.01,0.044610644348398135
8,40,15,0.1,0.1787702631810702
9,40,20,0.001,0.024958496083812082
10,40,20,0.01,0.0358300749849849
11,40,20,0.1,0.17314804279777402
12,40,25,0.001,0.019314945751502693
0,40,5,0.001,0.09541781746836392
1,40,5,0.01,0.09848718066910653
2,40,5,0.1,0.21248871087536197
3,40,10,0.001,0.04661789576436913
4,40,10,0.01,0.05653080316152276
5,40,10,0.1,0.18539611675742187
6,40,15,0.001,0.03238093119796308
7,40,15,0.01,0.044610644348398135
8,40,15,0.1,0.1787702631810702
9,40,20,0.001,0.024958496083812082
10,40,20,0.01,0.0358300749849849
11,40,20,0.1,0.17314804279777402
12,40,25,0.001,0.019314945751502693
13,40,25,0.01,0.030473814935431234
0,40,5,0.001,0.09541781746836392
1,40,5,0.01,0.09848718066910653
2,40,5,0.1,0.21248871087536197
3,40,10,0.001,0.04661789576436913
4,40,10,0.01,0.05653080316152276
5,40,10,0.1,0.18539611675742187
6,40,15,0.001,0.03238093119796308
7,40,15,0.01,0.044610644348398135
8,40,15,0.1,0.1787702631810702
9,40,20,0.001,0.024958496083812082
10,40,20,0.01,0.0358300749849849
11,40,20,0.1,0.17314804279777402
12,40,25,0.001,0.019314945751502693
13,40,25,0.01,0.030473814935431234
14,40,25,0.1,0.16487119805083583
0,40,5,0.001,0.09541781746836392
1,40,5,0.01,0.09848718066910653
2,40,5,0.1,0.21248871087536197
3,40,10,0.001,0.04661789576436913
4,40,10,0.01,0.05653080316152276
5,40,10,0.1,0.18539611675742187
6,40,15,0.001,0.03238093119796308
7,40,15,0.01,0.044610644348398135
8,40,15,0.1,0.1787702631810702
9,40,20,0.001,0.024958496083812082
10,40,20,0.01,0.0358300749849849
11,40,20,0.1,0.17314804279777402
12,40,25,0.001,0.019314945751502693
13,40,25,0.01,0.030473814935431234
14,40,25,0.1,0.16487119805083583
15,40,30,0.001,0.015868327125824675
0,40,5,0.001,0.09541781746836392
1,40,5,0.01,0.09848718066910653
2,40,5,0.1,0.21248871087536197
3,40,10,0.001,0.04661789576436913
4,40,10,0.01,0.05653080316152276
5,40,10,0.1,0.18539611675742187
6,40,15,0.001,0.03238093119796308
7,40,15,0.01,0.044610644348398135
8,40,15,0.1,0.1787702631810702
9,40,20,0.001,0.024958496083812082
10,40,20,0.01,0.0358300749849849
11,40,20,0.1,0.17314804279777402
12,40,25,0.001,0.019314945751502693
13,40,25,0.01,0.030473814935431234
14,40,25,0.1,0.16487119805083583
15,40,30,0.001,0.015868327125824675
16,40,30,0.01,0.02737854652180282
0,40,5,0.001,0.09541781746836392
1,40,5,0.01,0.09848718066910653
2,40,5,0.1,0.21248871087536197
3,40,10,0.001,0.04661789576436913
4,40,10,0.01,0.05653080316152276
5,40,10,0.1,0.18539611675742187
6,40,15,0.001,0.03238093119796308
7,40,15,0.01,0.044610644348398135
8,40,15,0.1,0.1787702631810702
9,40,20,0.001,0.024958496083812082
10,40,20,0.01,0.0358300749849849
11,40,20,0.1,0.17314804279777402
12,40,25,0.001,0.019314945751502693
13,40,25,0.01,0.030473814935431234
14,40,25,0.1,0.16487119805083583
15,40,30,0.001,0.015868327125824675
16,40,30,0.01,0.02737854652180282
17,40,30,0.1,0.15706407597219704
0,40,5,0.001,0.09541781746836392
1,40,5,0.01,0.09848718066910653
2,40,5,0.1,0.21248871087536197
3,40,10,0.001,0.04661789576436913
4,40,10,0.01,0.05653080316152276
5,40,10,0.1,0.18539611675742187
6,40,15,0.001,0.03238093119796308
7,40,15,0.01,0.044610644348398135
8,40,15,0.1,0.1787702631810702
9,40,20,0.001,0.024958496083812082
10,40,20,0.01,0.0358300749849849
11,40,20,0.1,0.17314804279777402
12,40,25,0.001,0.019314945751502693
13,40,25,0.01,0.030473814935431234
14,40,25,0.1,0.16487119805083583
15,40,30,0.001,0.015868327125824675
16,40,30,0.01,0.02737854652180282
17,40,30,0.1,0.15706407597219704
18,40,35,0.001,0.013744412598933338
0,40,5,0.001,0.09541781746836392
1,40,5,0.01,0.09848718066910653
2,40,5,0.1,0.21248871087536197
3,40,10,0.001,0.04661789576436913
4,40,10,0.01,0.05653080316152276
5,40,10,0.1,0.18539611675742187
6,40,15,0.001,0.03238093119796308
7,40,15,0.01,0.044610644348398135
8,40,15,0.1,0.1787702631810702
9,40,20,0.001,0.024958496083812082
10,40,20,0.01,0.0358300749849849
11,40,20,0.1,0.17314804279777402
12,40,25,0.001,0.019314945751502693
13,40,25,0.01,0.030473814935431234
14,40,25,0.1,0.16487119805083583
15,40,30,0.001,0.015868327125824675
16,40,30,0.01,0.02737854652180282
17,40,30,0.1,0.15706407597219704
18,40,35,0.001,0.013744412598933338
19,40,35,0.01,0.02458675516099122
0,40,5,0.001,0.09541781746836392
1,40,5,0.01,0.09848718066910653
2,40,5,0.1,0.21248871087536197
3,40,10,0.001,0.04661789576436913
4,40,10,0.01,0.05653080316152276
5,40,10,0.1,0.18539611675742187
6,40,15,0.001,0.03238093119796308
7,40,15,0.01,0.044610644348398135
8,40,15,0.1,0.1787702631810702
9,40,20,0.001,0.024958496083812082
10,40,20,0.01,0.0358300749849849
11,40,20,0.1,0.17314804279777402
12,40,25,0.001,0.019314945751502693
13,40,25,0.01,0.030473814935431234
14,40,25,0.1,0.16487119805083583
15,40,30,0.001,0.015868327125824675
16,40,30,0.01,0.02737854652180282
17,40,30,0.1,0.15706407597219704
18,40,35,0.001,0.013744412598933338
19,40,35,0.01,0.02458675516099122
20,40,35,0.1,0.14781486786301143
0,40,5,0.001,0.09541781746836392
1,40,5,0.01,0.09848718066910653
2,40,5,0.1,0.21248871087536197
3,40,10,0.001,0.04661789576436913
4,40,10,0.01,0.05653080316152276
5,40,10,0.1,0.18539611675742187
6,40,15,0.001,0.03238093119796308
7,40,15,0.01,0.044610644348398135
8,40,15,0.1,0.1787702631810702
9,40,20,0.001,0.024958496083812082
10,40,20,0.01,0.0358300749849849
11,40,20,0.1,0.17314804279777402
12,40,25,0.001,0.019314945751502693
13,40,25,0.01,0.030473814935431234
14,40,25,0.1,0.16487119805083583
15,40,30,0.001,0.015868327125824675
16,40,30,0.01,0.02737854652180282
17,40,30,0.1,0.15706407597219704
18,40,35,0.001,0.013744412598933338
19,40,35,0.01,0.02458675516099122
20,40,35,0.1,0.14781486786301143
21,40,40,0.001,0.011197594135134808
0,40,5,0.001,0.09541781746836392
1,40,5,0.01,0.09848718066910653
2,40,5,0.1,0.21248871087536197
3,40,10,0.001,0.04661789576436913
4,40,10,0.01,0.05653080316152276
5,40,10,0.1,0.18539611675742187
6,40,15,0.001,0.03238093119796308
7,40,15,0.01,0.044610644348398135
8,40,15,0.1,0.1787702631810702
9,40,20,0.001,0.024958496083812082
10,40,20,0.01,0.0358300749849849
11,40,20,0.1,0.17314804279777402
12,40,25,0.001,0.019314945751502693
13,40,25,0.01,0.030473814935431234
14,40,25,0.1,0.16487119805083583
15,40,30,0.001,0.015868327125824675
16,40,30,0.01,0.02737854652180282
17,40,30,0.1,0.15706407597219704
18,40,35,0.001,0.013744412598933338
19,40,35,0.01,0.02458675516099122
20,40,35,0.1,0.14781486786301143
21,40,40,0.001,0.011197594135134808
22,40,40,0.01,0.022184584850491625
0,40,5,0.001,0.09541781746836392
1,40,5,0.01,0.09848718066910653
2,40,5,0.1,0.21248871087536197
3,40,10,0.001,0.04661789576436913
4,40,10,0.01,0.05653080316152276
5,40,10,0.1,0.18539611675742187
