,TR,K,Lamda,mae_k_fold
0,30,5,0.001,0.06992361435741398
0,30,5,0.001,0.06992361435741398
1,30,5,0.01,0.0775604914654399
0,30,5,0.001,0.06992361435741398
1,30,5,0.01,0.0775604914654399
2,30,5,0.1,0.19201473181169681
0,30,5,0.001,0.06992361435741398
1,30,5,0.01,0.0775604914654399
2,30,5,0.1,0.19201473181169681
3,30,10,0.001,0.036794631872993186
0,30,5,0.001,0.06992361435741398
1,30,5,0.01,0.0775604914654399
2,30,5,0.1,0.19201473181169681
3,30,10,0.001,0.036794631872993186
4,30,10,0.01,0.04693811462796421
0,30,5,0.001,0.06992361435741398
1,30,5,0.01,0.0775604914654399
2,30,5,0.1,0.19201473181169681
3,30,10,0.001,0.036794631872993186
4,30,10,0.01,0.04693811462796421
5,30,10,0.1,0.16979213518144648
0,30,5,0.001,0.06992361435741398
1,30,5,0.01,0.0775604914654399
2,30,5,0.1,0.19201473181169681
3,30,10,0.001,0.036794631872993186
4,30,10,0.01,0.04693811462796421
5,30,10,0.1,0.16979213518144648
6,30,15,0.001,0.025718190261934507
0,30,5,0.001,0.06992361435741398
1,30,5,0.01,0.0775604914654399
2,30,5,0.1,0.19201473181169681
3,30,10,0.001,0.036794631872993186
4,30,10,0.01,0.04693811462796421
5,30,10,0.1,0.16979213518144648
6,30,15,0.001,0.025718190261934507
7,30,15,0.01,0.03746801406815037
0,30,5,0.001,0.06992361435741398
1,30,5,0.01,0.0775604914654399
2,30,5,0.1,0.19201473181169681
3,30,10,0.001,0.036794631872993186
4,30,10,0.01,0.04693811462796421
5,30,10,0.1,0.16979213518144648
6,30,15,0.001,0.025718190261934507
7,30,15,0.01,0.03746801406815037
8,30,15,0.1,0.16171660232060608
0,30,5,0.001,0.06992361435741398
1,30,5,0.01,0.0775604914654399
2,30,5,0.1,0.19201473181169681
3,30,10,0.001,0.036794631872993186
4,30,10,0.01,0.04693811462796421
5,30,10,0.1,0.16979213518144648
6,30,15,0.001,0.025718190261934507
7,30,15,0.01,0.03746801406815037
8,30,15,0.1,0.16171660232060608
9,30,20,0.001,0.019317510084350335
0,30,5,0.001,0.06992361435741398
1,30,5,0.01,0.0775604914654399
2,30,5,0.1,0.19201473181169681
3,30,10,0.001,0.036794631872993186
4,30,10,0.01,0.04693811462796421
5,30,10,0.1,0.16979213518144648
6,30,15,0.001,0.025718190261934507
7,30,15,0.01,0.03746801406815037
8,30,15,0.1,0.16171660232060608
9,30,20,0.001,0.019317510084350335
10,30,20,0.01,0.030853814933087052
0,30,5,0.001,0.06992361435741398
1,30,5,0.01,0.0775604914654399
2,30,5,0.1,0.19201473181169681
3,30,10,0.001,0.036794631872993186
4,30,10,0.01,0.04693811462796421
5,30,10,0.1,0.16979213518144648
6,30,15,0.001,0.025718190261934507
7,30,15,0.01,0.03746801406815037
8,30,15,0.1,0.16171660232060608
9,30,20,0.001,0.019317510084350335
10,30,20,0.01,0.030853814933087052
11,30,20,0.1,0.15419399201633194
0,30,5,0.001,0.06992361435741398
1,30,5,0.01,0.0775604914654399
2,30,5,0.1,0.19201473181169681
3,30,10,0.001,0.036794631872993186
4,30,10,0.01,0.04693811462796421
5,30,10,0.1,0.16979213518144648
6,30,15,0.001,0.025718190261934507
7,30,15,0.01,0.03746801406815037
8,30,15,0.1,0.16171660232060608
9,30,20,0.001,0.019317510084350335
10,30,20,0.01,0.030853814933087052
11,30,20,0.1,0.15419399201633194
12,30,25,0.001,0.016094943934935546
0,30,5,0.001,0.06992361435741398
1,30,5,0.01,0.0775604914654399
2,30,5,0.1,0.19201473181169681
3,30,10,0.001,0.036794631872993186
4,30,10,0.01,0.04693811462796421
5,30,10,0.1,0.16979213518144648
6,30,15,0.001,0.025718190261934507
7,30,15,0.01,0.03746801406815037
8,30,15,0.1,0.16171660232060608
9,30,20,0.001,0.019317510084350335
10,30,20,0.01,0.030853814933087052
11,30,20,0.1,0.15419399201633194
12,30,25,0.001,0.016094943934935546
13,30,25,0.01,0.025995770472208937
0,30,5,0.001,0.06992361435741398
1,30,5,0.01,0.0775604914654399
2,30,5,0.1,0.19201473181169681
3,30,10,0.001,0.036794631872993186
4,30,10,0.01,0.04693811462796421
5,30,10,0.1,0.16979213518144648
6,30,15,0.001,0.025718190261934507
7,30,15,0.01,0.03746801406815037
8,30,15,0.1,0.16171660232060608
9,30,20,0.001,0.019317510084350335
10,30,20,0.01,0.030853814933087052
11,30,20,0.1,0.15419399201633194
12,30,25,0.001,0.016094943934935546
13,30,25,0.01,0.025995770472208937
14,30,25,0.1,0.14368341468564472
0,30,5,0.001,0.06992361435741398
1,30,5,0.01,0.0775604914654399
2,30,5,0.1,0.19201473181169681
3,30,10,0.001,0.036794631872993186
4,30,10,0.01,0.04693811462796421
5,30,10,0.1,0.16979213518144648
6,30,15,0.001,0.025718190261934507
7,30,15,0.01,0.03746801406815037
8,30,15,0.1,0.16171660232060608
9,30,20,0.001,0.019317510084350335
10,30,20,0.01,0.030853814933087052
11,30,20,0.1,0.15419399201633194
12,30,25,0.001,0.016094943934935546
13,30,25,0.01,0.025995770472208937
14,30,25,0.1,0.14368341468564472
15,30,30,0.001,0.013399058970660767
0,30,5,0.001,0.06992361435741398
1,30,5,0.01,0.0775604914654399
2,30,5,0.1,0.19201473181169681
3,30,10,0.001,0.036794631872993186
4,30,10,0.01,0.04693811462796421
5,30,10,0.1,0.16979213518144648
6,30,15,0.001,0.025718190261934507
7,30,15,0.01,0.03746801406815037
8,30,15,0.1,0.16171660232060608
9,30,20,0.001,0.019317510084350335
10,30,20,0.01,0.030853814933087052
11,30,20,0.1,0.15419399201633194
12,30,25,0.001,0.016094943934935546
13,30,25,0.01,0.025995770472208937
14,30,25,0.1,0.14368341468564472
15,30,30,0.001,0.013399058970660767
16,30,30,0.01,0.022747301949885883
0,30,5,0.001,0.06992361435741398
1,30,5,0.01,0.0775604914654399
2,30,5,0.1,0.19201473181169681
3,30,10,0.001,0.036794631872993186
4,30,10,0.01,0.04693811462796421
5,30,10,0.1,0.16979213518144648
6,30,15,0.001,0.025718190261934507
7,30,15,0.01,0.03746801406815037
8,30,15,0.1,0.16171660232060608
9,30,20,0.001,0.019317510084350335
10,30,20,0.01,0.030853814933087052
11,30,20,0.1,0.15419399201633194
12,30,25,0.001,0.016094943934935546
13,30,25,0.01,0.025995770472208937
14,30,25,0.1,0.14368341468564472
15,30,30,0.001,0.013399058970660767
16,30,30,0.01,0.022747301949885883
17,30,30,0.1,0.13504625217801597
0,30,5,0.001,0.06992361435741398
1,30,5,0.01,0.0775604914654399
2,30,5,0.1,0.19201473181169681
3,30,10,0.001,0.036794631872993186
4,30,10,0.01,0.04693811462796421
5,30,10,0.1,0.16979213518144648
6,30,15,0.001,0.025718190261934507
7,30,15,0.01,0.03746801406815037
8,30,15,0.1,0.16171660232060608
9,30,20,0.001,0.019317510084350335
10,30,20,0.01,0.030853814933087052
11,30,20,0.1,0.15419399201633194
12,30,25,0.001,0.016094943934935546
13,30,25,0.01,0.025995770472208937
14,30,25,0.1,0.14368341468564472
15,30,30,0.001,0.013399058970660767
16,30,30,0.01,0.022747301949885883
17,30,30,0.1,0.13504625217801597
18,30,35,0.001,0.011502528376762968
0,30,5,0.001,0.06992361435741398
1,30,5,0.01,0.0775604914654399
2,30,5,0.1,0.19201473181169681
3,30,10,0.001,0.036794631872993186
4,30,10,0.01,0.04693811462796421
5,30,10,0.1,0.16979213518144648
6,30,15,0.001,0.025718190261934507
7,30,15,0.01,0.03746801406815037
8,30,15,0.1,0.16171660232060608
9,30,20,0.001,0.019317510084350335
10,30,20,0.01,0.030853814933087052
11,30,20,0.1,0.15419399201633194
12,30,25,0.001,0.016094943934935546
13,30,25,0.01,0.025995770472208937
14,30,25,0.1,0.14368341468564472
15,30,30,0.001,0.013399058970660767
16,30,30,0.01,0.022747301949885883
17,30,30,0.1,0.13504625217801597
18,30,35,0.001,0.011502528376762968
19,30,35,0.01,0.020923681720248895
0,30,5,0.001,0.06992361435741398
1,30,5,0.01,0.0775604914654399
2,30,5,0.1,0.19201473181169681
3,30,10,0.001,0.036794631872993186
4,30,10,0.01,0.04693811462796421
5,30,10,0.1,0.16979213518144648
6,30,15,0.001,0.025718190261934507
7,30,15,0.01,0.03746801406815037
8,30,15,0.1,0.16171660232060608
9,30,20,0.001,0.019317510084350335
10,30,20,0.01,0.030853814933087052
11,30,20,0.1,0.15419399201633194
12,30,25,0.001,0.016094943934935546
13,30,25,0.01,0.025995770472208937
14,30,25,0.1,0.14368341468564472
15,30,30,0.001,0.013399058970660767
16,30,30,0.01,0.022747301949885883
17,30,30,0.1,0.13504625217801597
18,30,35,0.001,0.011502528376762968
19,30,35,0.01,0.020923681720248895
20,30,35,0.1,0.12686953390283812
0,30,5,0.001,0.06992361435741398
1,30,5,0.01,0.0775604914654399
2,30,5,0.1,0.19201473181169681
3,30,10,0.001,0.036794631872993186
4,30,10,0.01,0.04693811462796421
5,30,10,0.1,0.16979213518144648
6,30,15,0.001,0.025718190261934507
7,30,15,0.01,0.03746801406815037
8,30,15,0.1,0.16171660232060608
9,30,20,0.001,0.019317510084350335
10,30,20,0.01,0.030853814933087052
11,30,20,0.1,0.15419399201633194
12,30,25,0.001,0.016094943934935546
13,30,25,0.01,0.025995770472208937
14,30,25,0.1,0.14368341468564472
15,30,30,0.001,0.013399058970660767
16,30,30,0.01,0.022747301949885883
17,30,30,0.1,0.13504625217801597
18,30,35,0.001,0.011502528376762968
19,30,35,0.01,0.020923681720248895
20,30,35,0.1,0.12686953390283812
21,30,40,0.001,0.009744741016108154
0,30,5,0.001,0.06992361435741398
1,30,5,0.01,0.0775604914654399
2,30,5,0.1,0.19201473181169681
3,30,10,0.001,0.036794631872993186
4,30,10,0.01,0.04693811462796421
5,30,10,0.1,0.16979213518144648
6,30,15,0.001,0.025718190261934507
7,30,15,0.01,0.03746801406815037
8,30,15,0.1,0.16171660232060608
9,30,20,0.001,0.019317510084350335
10,30,20,0.01,0.030853814933087052
11,30,20,0.1,0.15419399201633194
12,30,25,0.001,0.016094943934935546
13,30,25,0.01,0.025995770472208937
14,30,25,0.1,0.14368341468564472
15,30,30,0.001,0.013399058970660767
16,30,30,0.01,0.022747301949885883
17,30,30,0.1,0.13504625217801597
18,30,35,0.001,0.011502528376762968
19,30,35,0.01,0.020923681720248895
20,30,35,0.1,0.12686953390283812
21,30,40,0.001,0.009744741016108154
22,30,40,0.01,0.0182805414015082
0,30,5,0.001,0.06992361435741398
1,30,5,0.01,0.0775604914654399
2,30,5,0.1,0.19201473181169681
3,30,10,0.001,0.036794631872993186
4,30,10,0.01,0.04693811462796421
5,30,10,0.1,0.16979213518144648
6,30,15,0.001,0.025718190261934507
